;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_°R_c-0916";"0916";"BEdT 248,061";".U(er)s de .Gr. riq(ui)er. la(n) .M. cc. lxxxvi./e(n) febrier.";"Obs magra que mos uolers";"109 vA 01";"109 vA"
"";"Scheda";"p_°R_c-0917";"0917";"BEdT 248,045";"Gr. riq(ui)er.";"Jamay non e hom en est mon grazitz";"109 vA";"109 vA"
"";"Scheda";"p_°R_c-0918";"0918";"BEdT 248,072";"Gr. riquier.";"Res no ual mos trobars";"109 vA";"109 vB"
"";"Scheda";"p_°R_c-0919";"0919";"BEdT 248,059";"Gr. riquier.";"Non puesc p(er) ren lo ben que conosc far";"109 vB";"109 vB"
"";"Scheda";"p_°R_c-0920";"0920";"BEdT 248,047";"Gr. riq(ui)er.";"Kalenda de mes caut ni freg";"109 vB";"110 rA"
"";"Scheda";"p_°R_c-0921";"0921";"BEdT 248,084";"De(n) .Gr. riquier.";"Uertatz es atras tirada";"110 rA";"110 rA"
"";"Scheda";"p_°R_c-0922";"0922";"BEdT 248,088";" ";"Jeu cuiaua souen damor chantar";"110 rA";"110 rB"
"";"Scheda";"p_°R_c-0923";"0923";"BEdT 248,065";"La p(re)mieyra retroencha. q(ue) fes e(n) .Gr. riq(ui)er./lan .M. cc. lxii.";"Pus astres nom es donatz";"111 vA 01";"111 vA"
"";"Scheda";"p_°R_c-0924";"0924";"BEdT 248,078";"La segoda retroencha de Gr./riq(ui)er. lan .M. cc. lxv.";"Si chans me pogues valensa";"111 vA";"111 vA"
"";"Scheda";"p_°R_c-0925";"0925";"BEdT 248,057";"La t(er)sa retrohencha de(n) .Gr. riq(ui)er./.lan. .M. cc. lxxx. en setembre.";"No(n) cugiey may desta razo";"111 vA";"111 vA"
"";"Scheda";"p_°R_c-0926";"0926";"BEdT 082,085";"Aiso so coblas triadas esparsas/de(n) B(er)tra(n) carbonel. de marselha.";"Sieu dic lo ben (et) hom nol me uol faire";"112 vA 01";"112 vA"
"";"Scheda";"p_°R_c-0927";"0927";"BEdT 082,029";"-";"Bes e mals cascus pareis_";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0928";"0928";"BEdT 082,020";"-";"Alcun nessie(n)te(n)dedor";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0929";"0929";"BEdT 082,070";"-";"On ho(m) mais a de(n)te(n)deme(n)";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0930";"0930";"BEdT 082,061";"-";"Mal fai q(ui) blasma ni e(n)colpa";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0931";"0931";"BEdT 082,044";"-";"Domes trobi q(ue) decors e daver";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0932";"0932";"BEdT 082,066";"-";"Non es amicx q(ue) no(n) o fay parven";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0933";"0933";"BEdT 082,039";"-";"Domes atrobi totz aitals";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0934";"0934";"BEdT 082,047";"-";"Domes truep q(ue) p(er) amistatz";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0935";"0935";"BEdT 082,094";"-";"Uers es q(ue) b(on)a cauza es";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0936";"0936";"BEdT 082,082";"-";"Si alcu(n) uol la somau(er)";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0937";"0937";"BEdT 082,025";"-";"Ara puesc be(n) conoisser sertame(n)";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0938";"0938";"BEdT 082,034";"-";"Conoissensa uey p(er)duda";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0939";"0939";"BEdT 082,093";"-";"Us ho(m) pot be(n) e(n) tal cas u(er)tat dir";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0940";"0940";"BEdT 082,073";"-";"Qui adonar no se vol a p(ro)eza";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0941";"0941";"BEdT 082,045";"-";"Domes trobi que so de uil natura";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0942";"0942";"BEdT 082,041";"-";"Domes trobi de gros e(n)tendeme(n)";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0943";"0943";"BEdT 082,059";"-";"La p(re)mieyra de totas/las vertutz";"112 vA";"112 vA"
"";"Scheda";"p_°R_c-0944";"0944";"BEdT 082,071";"-";"Per fol te(n)c q(ui) lo(n)gua via";"112 vB 01";"112 vB"
"";"Scheda";"p_°R_c-0945";"0945";"BEdT 082,091";"-";"Totz trops es mals.e q(ui)/lo trop no(n) peza";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0946";"0946";"BEdT 082,023";"-";"Anc p(er) nulh te(m)ps (et) ayso es s(er)teza";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0947";"0947";"BEdT 082,060";"-";"Le sauis dis com no(n) deu p(er)/semblan_";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0948";"0948";"BEdT 082,069";"-";"Nulhs hom ta(n)/be no(n) conoys. so(n) amic";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0949";"0949";"BEdT 082,032";"-";"Cascul jor(n) truep p(us) dezaue(n)turos";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0950";"0950";"BEdT 082,086";"-";"Tals portespaze bloq(ui)er";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0951";"0951";"BEdT 082,065";"-";"Motz homes trobi de m(a)l/plach";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0952";"0952";"BEdT 082,056";"-";"Hostes ab gaug ay uolgut/uerame(n)s";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0953";"0953";"BEdT 082,031";"-";"Bontatz damic e de senhor";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0954";"0954";"BEdT 082,057";"-";"Huey no(n) es homs ta(n)t pros ni ta(n)t prezatz";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0955";"0955";"BEdT 082,075";"-";"Qui no(n) p(er)ue(n) el dan p(er)petual";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0956";"0956";"BEdT 082,026";"-";"Atressi ue homs paubres e(n) auteza";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0957";"0957";"BEdT 082,048";"-";"Domes sai q(ue)s ua(n) rebuzan";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0958";"0958";"BEdT 082,038";"-";"Dieus no(n) laisa mal apunir";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0959";"0959";"BEdT 082,049";"-";"Domes uey ricx (et) abastatz";"112 vB";"112 vB"
"";"Scheda";"p_°R_c-0960";"0960";"BEdT 082,074";"-";"Qui a riq(ue)za e no(n) ual";"112 vB";"113 rA"
"";"Scheda";"p_°R_c-0961";"0961";"BEdT 082,030";"-";"Bo(n) es q(ui) sap p(er) natura parlar";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0962";"0962";"BEdT 082,043";"-";"Domes trobi q(ue) ab lur ge(n)t parlar";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0963";"0963";"BEdT 082,022";"-";"Anc de ioc no ui/far so(n) pro";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0964";"0964";"BEdT 082,089";"-";"Totz maistres deu estar";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0965";"0965";"BEdT 082,055";"-";"Homs ca(n)t es per for/fait pres";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0966";"0966";"BEdT 082,027";"-";"Bertra(n) lo ros yeu tauch cobla retraire";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0967";"0967";"BEdT 082,024";"-";"Huei no(n) es homs ta(n)t sauis ni ta(n) pros";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0968";"0968";"BEdT 082,028";"-";"Bertra(n) lo/ros tu iest homs e(n)te(n)de(n)s";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0969";"0969";"BEdT 082,090";"-";"Totz trops es m(a)ls e(n)aisi s(er)tame(n)s";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0970";"0970";"BEdT 082,021";"-";"Als dema(n)da(n)s respo(n)di q(ue)s amors";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0971";"0971";"BEdT 082,037";"-";"Dieus fe adam (et)/eua carnalme(n)s";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0972";"0972";"BEdT 082,046";"-";"Domes truep fort enamoratz";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0973";"0973";"BEdT 082,035";"-";"De femnas drudeyras y a";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0974";"0974";"BEdT 082,036";"-";"De trachoretz saiuey/q(ue) lur t(ri)chars";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0975";"0975";"BEdT 082,076";"-";"Qui p(er) bo(n)/dreg se part damor";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0976";"0976";"BEdT 082,072";"-";"Per fol te(n)c q(ui) saco(m)panha<.>[b sel.]";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0977";"0977";"BEdT 082,052";"-";"Enaisi co(m) e(n) guazanhar";"113 rA";"113 rA"
"";"Scheda";"p_°R_c-0978";"0978";"BEdT 082,042";"-";"Domes trobi fols (et) esseruelatz";"113 rA";"113 rB"
"";"Scheda";"p_°R_c-0979";"0979";"BEdT 082,092";"-";"Una decretal uuelh faire";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0980";"0980";"BEdT 082,064";"-";"Mal fai q(ui) clau ni/enserra";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0981";"0981";"BEdT 082,051";"-";"Enaisi cortezia<.>";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0982";"0982";"BEdT 082,063";"-";"Maior fais no(n) pot sostener";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0983";"0983";"BEdT 082,067";"-";"Nulhs homs no(n) deu trop e(n)lamort pe(n)sar";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0984";"0985";"BEdT 082,080";"-";"Sauis homs e(n) res tan no falh";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0985";"0986";"BEdT 082,081";"-";"Sel q(ue) ditz q(ui)eu fas foldat";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0986";"0987";"BEdT 082,083";"-";"S'ieu ay falhit/p(er) razo natural";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0987";"0988";"BEdT 082,068";"-";"Nulhs ho(m) no(n) portamistat";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0988";"0989";"BEdT 082,088";"-";"Tota dona/q(ue) aia cor d'amar";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0989";"0990";"BEdT 082,062";"-";"Mais parla/ho(m) toste(m)ps dun mal";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0990";"0991";"BEdT 082,033";"-";"Cobla ses so es e(n)aisi";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0991";"0992";"BEdT 082,087";"-";"Tal uai armatz (et) a cors bel e gra(n)";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0992";"0993";"BEdT 082,078";"-";"Qui uol paradis guazanhar";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0993";"0984";"BEdT 082,053";"-";"Enaiso uey q(ue)s bona pauretatz";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0994";"0994";"BEdT 082,040";"-";"Domes y a e sai nu(n) majorme(n)s";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0995";"0995";"BEdT 082,054";"-";"Homs de be sego(n) beutat<.>";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0996";"0996";"BEdT 246,067";"Aiso so coblas triadas esparsas./de(n) .G. del oliuier darle.";"Tant no(n) puesc legir ni pessar";"113 rB";"113 rB"
"";"Scheda";"p_°R_c-0997";"0997";"BEdT 246,024";"-";"Falsamor no si pot dir";"113 rB";"113 vA"
"";"Scheda";"p_°R_c-0998";"0998";"BEdT 246,069";"-";"Tota don(a) camors ue(n)sa";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-0999";"0999";"BEdT 246,069";"-";"Donas p(er) cosselh uos dic";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1000";"1000";"BEdT 246,069";"-";"Donas crezetz mo(n) prezic";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1001";"1001";"BEdT 246,040";"-";"Mans se feignon enamorat";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1002";"1002";"BEdT 246,063";"-";"So nos retrais/m(ar)c a brus";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1003";"1003";"BEdT 246,030";"-";"Homs q(ue) se rent de sa molh(er) gilos";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1004";"1004";"BEdT 246,046";"-";"Pros don(a) e(n)amorada";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1005";"1005";"BEdT 246,005";"-";"Alcus homes sai entre nos";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1006";"1006";"BEdT 246,047";"-";"Qui ama cortezia<.>";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1007";"1007";"BEdT 246,019";"-";"Domes uey can a totz ior(n)s me(n)s";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1008";"1008";"BEdT 246,050";"-";"Qui sazauta denuez faire";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1009";"1009";"BEdT 246,049";"-";"Qui sap gardar fach e dich de secret";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1010";"1010";"BEdT 246,035";"-";"Iocx e putaria<.>";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1011";"1011";"BEdT 246,052";"-";"Qui uol au(er) ganre damicx";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1012";"1012";"BEdT 246,057";"-";"Seneca q(ue) fon hom sabens";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1013";"1013";"BEdT 246,066";"-";"Tant es lo mo(n)s costumatz";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1014";"1014";"BEdT 246,007";"-";"Be(n) corteza conoissensa";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1015";"1015";"BEdT 246,051";"-";"Qui se uolgues cosselhar";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1016";"1016";"BEdT 246,072";"-";"Totz hom me par be noiritz";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1017";"1017";"BEdT 246,012";"-";"Catre cauzas so(n) fort nominati(u)as";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1018";"1018";"BEdT 246,053";"-";"Ricx homs q(ue)nte(n) e(n) gran/nobleza";"113 vA";"113 vA"
"";"Scheda";"p_°R_c-1019";"1019";"BEdT 246,023";"-";"Escrich truep en/un nostractor";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1020";"1020";"BEdT 246,034";"-";"Ieu no(n) te(n)c home p(er) amic";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1021";"1021";"BEdT 246,062";"-";"Si uols far ueresproansa";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1022";"1022";"BEdT 246,064";"-";"Sus homs sabia m(a)l ses be";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1023";"1023";"BEdT 246,041";"-";"Motas ueguadas/sendeue";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1024";"1024";"BEdT 246,013";"-";"Catre maneiras/so(n) de gens";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1025";"1025";"BEdT 246,056";"-";"Seneca dis q(ue) saup philozophia";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1026";"1026";"BEdT 246,021";"-";"Entramicx (et) enemicx";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1027";"1027";"BEdT 246,006";"-";"Auzit ay dir maintas sazos";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1028";"1028";"BEdT 246,010";"-";"Bo(n) es au(er) acampar";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1029";"1029";"BEdT 246,054";"-";"Eiq(ue)zas gra(n)s fan far manta/falhe(n)sa";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1030";"1030";"BEdT 246,014";"-";"Sert es qui a mal vezi<.>";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1031";"1031";"BEdT 246,009";"-";"Bona fin fai q(ui) ab bo(n) albres lia";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1032";"1032";"BEdT 246,015";"-";"Cobes e larcx aug cais tot iorn repenre";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1033";"1033";"BEdT 246,031";"-";"Ieu ai uist ome plaguat";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1034";"1034";"BEdT 246,060";"-";"Si fos tan bos segles com sol";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1035";"1035";"BEdT 246,022";"-";"Escrig truep e(n) salamo";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1036";"1036";"BEdT 246,018";"-";"Domes truep q(ue) dona(n) cosselh<.>";"113 vB";"113 vB"
"";"Scheda";"p_°R_c-1037";"1037";"BEdT 246,055";"-";"Salamos nos es recomtans";"113 vB";"114 rA"
"";"Scheda";"p_°R_c-1038";"1038";"BEdT 246,074";"-";"Tres enemicx p(ri)n/cipals";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1039";"1039";"BEdT 246,001";"-";"Aisi com p(er) auentura";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1040";"1040";"BEdT 246,038";"-";"Mal te(m)ps fai reconoysser dieu";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1041";"1041";"BEdT 246,032";"-";"Ieu coseguiey te(m)ps e sazo";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1042";"1042";"BEdT 246,039";"-";"Malstratz donalegransa";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1043";"1043";"BEdT 246,065";"-";"Tal home am q(ue) sos aibs nom azauta";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1044";"1044";"BEdT 246,027";"-";"Homs ben parlans. deu mais ente(n)dre";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1045";"1045";"BEdT 246,016";"-";"De razo(n) e de natura";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1046";"1046";"BEdT 246,003";"-";"Aita(n) be(n) tanh p(er) deu(er)";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1047";"1047";"BEdT 246,075";"-";"Trop parlars faydes/me(n)tir";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1048";"1048";"BEdT 246,029";"-";"Hom q(ue) p(er) pauc de p(ro)fiech";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1049";"1049";"BEdT 246,071";"-";"Totz homs deuess(er)/curos";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1050";"1050";"BEdT 246,033";"-";"Ieu me tenc a gra(n) plazer";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1051";"1051";"BEdT 246,076";"-";"Trop uolu(n)tatz tol la uista<.>";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1052";"1052";"BEdT 246,045";"-";"Pieitz/fa .i. petit de mal<.>";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1053";"1053";"BEdT 246,077";"-";"Us homs es ca aiustat";"114 rA";"114 rA"
"";"Scheda";"p_°R_c-1054";"1054";"BEdT 246,061";"-";"Si p(er) chantan esiauzir";"114 rB 01";"114 rB"
"";"Scheda";"p_°R_c-1055";"1055";"BEdT 246,008";"-";"Bona fes e mala";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1056";"1056";"BEdT 246,004";"-";"Alcun so(n) trop maior de fama";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1057";"1057";"BEdT 246,026";"-";"Gauch e solatz e cortezia";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1058";"1058";"BEdT 246,017";"-";"Dieus donet comandame(n)";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1059";"1059";"BEdT 246,073";"-";"Totz hom se deu donar suenh";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1060";"1060";"BEdT 246,044";"-";"Per respiech dalcun be fach";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1061";"1061";"BEdT 246,011";"-";"Bos noyrime(n)s dona regla";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1062";"1062";"BEdT 246,059";"-";"Sieu auzes dire p(er) razo. a ma guiza";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1063";"1063";"BEdT 246,058";"-";"Se(n)s e sabers e conoysse(n)sa";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1064";"1064";"BEdT 246,043";"-";"Hon mais mesfors cascu(n) ior(n) dau(er) uida";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1065";"1065";"BEdT 246,025";"-";"Fals sembla(n)s e mot des/lials";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1066";"1066";"BEdT 246,068";"-";"Tart e tost so(n) doas/cauzas p(er) natura";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1067";"1067";"BEdT 246,020";"-";"Entotz afars tanh cortezia";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1068";"1068";"BEdT 246,028";"-";"Ho(m) deu lauzar son/amic";"114 rB";"114 rB"
"";"Scheda";"p_°R_c-1069";"1069";"BEdT 246,042";"-";"Hoc e no so(n) duy (con)trari";"114 rB";"114 vA"
"";"Scheda";"p_°R_c-1070";"1070";"BEdT 246,070";"-";"Tot enaisi co(m) peira p(re)cioza";"114 vA";"114 vA"
"";"Scheda";"p_°R_c-1071";"1071";"BEdT 246,048";"-";"Qui e(n) anel daur fai/ueire(n)castonar<.>";"114 vA";"114 vA"
"";"Scheda";"p_°R_c-1072";"1072";"BEdT 248,V";"Aiso so letras q(ue) trames .Gr. riq(ui)er an amalric/en castela. la(n) .M. cc. lxv.";"Al pus noble al p(us) uale(n)";"115 rA";"115 rB"
"";"Scheda";"p_°R_c-1073";"1073";"BEdT 248,XI";"Aiso fe .Gr. riq(ui)er. de na / uaq(ue)ira de lautrec. la(n) .m. cc. lviiii.";"Qui a sen (et) e(n)te(n)dem(en)";"115 rB";"115 rD"
"";"Scheda";"p_°R_c-1074";"1076";"BEdT 248,XII";"Dieus me cresca dezir e sab(er) del seruir. / .Aiso fe .Gr. riq(ui)er la(n) .m. cc. lxvi.";"Qui conois et enten";"115 rD";"115 vE"
"";"Scheda";"p_°R_c-1075";"1074";"BEdT 248,IX";".Aiso fe .Gr. riq(ui)er/lan .M. cc. lxv/.iii.";"Per res no(n) puesc/estar<.>";"115 vE";"116 rA"
"";"Scheda";"p_°R_c-1076";"1075";"BEdT 248,IV";"Aiso trames .Gr. riq(ui)er a/malhorgas. lan .m. cc./.lxvi.";"Al noble mot o(n)rat";"116 rB 01";"016 rC"
"";"Scheda";"p_°R_c-1077";"1077";"BEdT 248,I";".Aiso trames .Gr. riq(ui)er e(n) la/cort del rey de fransa la(n)/.m. cc. lxvii.";"A sel que deuuoler";"016 rC";"016 rF"
"";"Scheda";"p_°R_c-1078";"1078";"BEdT 248,XIII";"Estas nouas. fe .Gr./riquier. la(n) .m. cc. lxix.";"Sim fos sab(er) g(ra)zitz";"016 rF";"117 rA"
"";"Scheda";"p_°R_c-1079";"1079";"BEdT 248,III";"Estas letras trames./.Gr. riq(ui)er an amalric/de narbona. a tonis.";"Al car o(n)rat senhor";"117 rA";"117 rD"
"";"Scheda";"p_°R_c-1080";"1080";"BEdT 248,II";".Aiso fe. Gr. riq(ui)er. la(n)/.m. cc. lxxii.";"Aitan grans co(m) deu(er)s";"117 rD";"117 vC"
"";"Scheda";"p_°R_c-1081";"1081";"BEdT 248,VII";"Aiso fe. Gr. riq(ui)er. la(n)/.m. cc. lxxiiii. pro/lec.";"A penas lu(n)h p(ro) te";"117 vC";"117 vF"
"";"Scheda";"p_°R_c-1082";"1082";"BEdT 248,X";"Aiso es suplica/tio q(ue) fe .Gr. riq(ui)er al rey/de castela. p(er) lo nom d(e)/ioglars. lan .lxxiiii.";"P(us) dieu ma dat sab(er)";"117 vF";"118 vE"
"";"Scheda";"p_°R_c-1083";"1083";"BEdT 023a,I";"Decl(ar)atio q(ue)l senher rei/nanfos de castela. fe/p(er) la suplicatio q(ue) .Gr./riq(ui)er fe. p(er) lo/nom de ioglar. / la(n) .m.cc. lxxv.";"Si tot ses gra(n)s afa(n)s";"118 vE";"119 rD"
"";"Scheda";"p_°R_c-1084";"1084";"BEdT 248,XV";"Aiso. fe(n). Gr. riq(ue)r./la(n) .m. cc. lxxviiii. p(ro)lec.";"Tant petit uey p(re)zar";"119 rD";"119 vD"
"";"Scheda";"p_°R_c-1085";"1085";"BEdT 248,VIII";"Aiso/fe(n) .Gr./riq(ui)er/p(er) .i. so(n) amic q(ue) uolia adze(m)prar/sos amicx. e donet li cos/selh. lan .m. cc. lxxxi.";"Sel q(ue) sap cocelhar";"119 vD";"119 vF"
"";"Scheda";"p_°R_c-1086";"1086";"BEdT 248,XIV";"Aiso fe .Gr. riq(ui)er. la(n) lxxxii./dar cosselh ad .i. so(n) amic lo/cal auia grans trebalhs.";"Sim fos ta(n) de pod(er)";"119 vF";"120 rC"
"";"Scheda";"p_°R_c-1087";"1087";"BEdT 248,VI";"S oes la exposit(i)o(n) d(e) la ca(n)/so del menre ters damor/q(ue) fes e(n) .Gr. d(e) cala(n)so. La q(ua)l/exposit(i)o(n) fes e(n) .Gr. riq(ui)er/de narbona.";"Als s(u)btilsap(ri)matz";"120 rC";"121 rD"
"";"Scheda";"p_°R_c-1088";"1088";"BEdT 140,I";"Aiso q(ue) ue(n) apres es testi/mo(n)i q(ue)l senh(er) ne(n)ric p(er) la/gr(aci)a de dieu coms de rodes porta/ad esta espozit(i)o(n) ab u(er)itat.";"E nos deuem ses ess(er) greu";"121 rD";"121 rD"
"";"Scheda";"p_°R_c-1089";"1089";"BEdT 338,I";"Maistre p. de corbia(n).";"En no(m) de i(es)hu(s) crist q(ue)s n(ost)re saluam(en)s";"121 vA 01";"123 rB"
"";"Scheda";"p_°R_c-1090";"1090";"BEdT XXXX";"Aiso(n) son las nouas del/heretie";"Diguas me tu heretge";"123 rB";"124 vB"
"";"Scheda";"p_°R_c-1091";"1091";"BEdT";"Incipit p(ro)logus pla(n)ctus beate/marie.";"Ad honor de la t(ri)nitat";"124 vB";"126 rA"
"";"Scheda";"p_°R_c-1092";"1092";"BEdT";"Aq(ue)stz gautz dechet mose/nhe(n) .Gui folqueys. e donet/.c. ior(n)s de p(er)do q(ui) los dira ca(n)/fo(n) apostolis.";"Escrig truep (et) aisi es v(er)s";"126 rB";"126 vB"
"";"Scheda";"p_°R_c-1093";"1093";"BEdT 309,I";"Nat de mons.";"Al bo(n) rey de castela";"126 vB";"128 vD"
"";"Scheda";"p_°R_c-1094";"1094";"BEdT 309,V";"Nat de mons.";"Si tot no(n) es esq(ui)st";"128 vD";"130 rE"
"";"Scheda";"p_°R_c-1095";"1095";"BEdT 309,III";"Nat de mons.";"Al noble rey arago/nes";"130 rE";"130 vB"
"";"Scheda";"p_°R_c-1096";"1096";"BEdT 309,II";"Nat de mo(n)s.";"Al bon rey senh(er) darago";"130 vB";"130 vE"
"";"Scheda";"p_°R_c-1097";"1097";"BEdT 309,IV";"Nat de mons.";"Si nat de mo(n)s agues<.>";"130 vE";"131 vB"
"";"Scheda";"p_°R_c-1098";"1098";"BEdT 156,II";".Folq(ue)t de marsselha.";"Senh(er) dieu q(ue) fezist adam";"131 vC 01";"131 vD"
