;;"gen";"rep_n_aut";"autore";"post";"ante";"origine";"identificazione"
"";"Scheda";"4";"BEdT 010";"Aimeric de Pegulhan";"1190";"1240";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 009";"Aimeric de Belenoi";"1210 (?)";"1250";"Guascogna, Comminges, Agenais";" "
"";"Scheda";"4";"BEdT 008";"Aimeric";" ";" ";"diversi autori";" "
"";"Scheda";"4";"BEdT 003";"Ademar lo Negre";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 026";"Arnaut de Brantalo";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 093";"Bieiris de Roman";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 115";"Clara d'Anduza";" ";" ";"Linguadoca, Contea di Foix";"Trobairitz identificata da Guida 1990 con Sibilla, figlia di Bernard VIII d'Anduza e moglie (ca. 1200) di Raimon Pelet, co-signore di Alès, vivente ancora nel 1257."
"";"Scheda";"4";"BEdT 113";"Certan";" ";" ";" ";" "
"";"Scheda";"4";"BEdT 109";"Castelloza";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"4";"BEdT 106";"Cadenet";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 104";"Bermon Rascas";"1208 (prima documentazione)";"1234";"Linguadoca, Contea di Foix";"Bermon Rascas , figlio secondogenito di Raimon Rascas signore di Uzès [morto nel 1209]: dopo la scomparasa del fratello maggiore [1211]...[diviene] erede e prosecutore della dinastia (Guida 1988, 373) in relazione, tra l'altro, con Gui de Cavaillon (ibid., 379) Spaggiari 1992 e 1996 identifica il personaggio con Bermon I, attestato fra il 1146 e il 1174 Guida (1997a , p.886) ribadisce l'identificazione col personaggio del primo terzo del sec. 13."
"";"Scheda";"4";"BEdT 098";"Bonafe";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Prob. un giullare, noto solo come interlocutore di Blacatz in due tenzoni (BEdT 098,001 e 098,002)."
"";"Scheda";"4";"BEdT 042a";"Azalais d'Altier";" ";" ";"Linguadoca, Contea di Foix";"riconosciuta da Crescini 1890 come la donna indicata nella vida BEdT 457.B.B come amica di Clara d'Anduza cfr. Guida 1990, 189-90."
"";"Scheda";"4";"BEdT 095";"Bischof Robert von Clermont - Lo Vesques de Clarmon (Clermont)";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"4";"BEdT 220";"Guillem d'Ieiras";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 092";"Bertran de la Tor";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Signore di La-Tour-d'Auvergne, arr. Issoire, all'inizio del sec. XIII (Jeanroy 1934, p.352)."
"";"Scheda";"4";"BEdT 091";"Bertran de Saint Felitz";" ";" ";"Poitou, Saintonge, Périgord (?)";"Interlocutore di Uc de la Bacalaria nella tenzone BEdT 449,001."
"";"Scheda";"4";"BEdT 088";"Bertran de Preissac";" ";" ";"Poitou, Saintonge, Périgord";"Tenzona con Gausbert de Poicibot (BEdT 173,005=088,002) alla tenzone è in qualche modo legato un ulteriore dibattito sulle donne vecchie e giovani, cfr. scheda BEdT 173,001a. Cfr. 088 Bertran de Pressars, col quale potrebbe forse essere identificato."
"";"Scheda";"4";"BEdT 084";"Bertran de Gordo";" ";" ";"Quercy, Rouergue";"Bertran, signore di Gordon (Gourdon). Nel 1211 rende omaggio per la città a Filippo Augusto e nel 1218 a Simone di Montfort. Tenzona con Matieu (certamente non Matieu de Caerci autore di 299,001) nello scambio di coblas 298,001 ( ) - 084,001a ( Seigner Bertran, per la desconoissensa ), dove viene accusato per aver venduto la propria signoria."
"";"Scheda";"4";"BEdT 083";"Bertran Folco d'Avigno";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"E' identificato con lui il Bertrans d'Avignon che dibatte con Raimon (de Miraval o de las Salas) in 406,016 identificato con l'interlocutore di Gui de Cavaillon in 192,002a. [Da verificare a questo punto anche Falco , visto che Bertran Folco viene così designato in 192,002a.]"
"";"Scheda";"4";"BEdT 081";"Bertran de Born lo fils";" ";" ";"Poitou, Saintonge, Périgord";" "
"";"Scheda";"4";"BEdT 079";"Bertran d'Aurel";" ";" ";"non precisabile";" "
"";"Scheda";"4";"BEdT 097";"Blacatz";" ";"1237 (o 1239): data di morte";"Provenza, Delfinato, Viennese, Valentinese";"Blacas, figlio di Blacas d'Aups e importante signore della Provenza alpina seri problemi nella distinzione come autore da Blacasset (097), suo parente, se non figlio."
"";"Scheda";"4";"BEdT 373";"Pomariol";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Dibatte con Guionet nella tenzone BEdT 238,003, certamente composta in Provenza come indica l'invio a Reforzat [de Trets] e a Azalais Porcelleta, indicati in qualità di giudici. Il trovatore è in realtà indicato nella tenzone come Pomariols al v. 1 e al v.55, come Peire al v. 19 e come Peire Pomariols al v. 37. Guida 2011, p202-209 e spec. p.205 sgg. propone di identificarlo con un Peire de Pomariol attestato negli anni 1221-1222."
"";"Scheda";"4";"BEdT 390";"Raimbaut de Beljoc";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Trovatore sconosciuto."
"";"Scheda";"4";"BEdT 389a";"Raimbaut IV d'Aurenga";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 388";"Raimbaut";" ";" ";" ";"Guida 2008a, p.251-73, identifica il proponente della tenzone BEdT 388,001 con BEdT 392 Raimbaut de Vaqueiras."
"";"Scheda";"4";"BEdT 384";"Prebost de Valensa";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"E' il Prebost che dialoga con Savaric de Mauléon in BEdT 384,001. Di un Prebost si parla anche nella sestina-sirventes BEdT 233,002, di attribuzione controversa, Jeanroy 1934, p.416 lo identifica senza esitazione col presente."
"";"Scheda";"4";"BEdT 383a";"Prebost de Limotges";" ";" ";"Limosino, Marche";"a un presonaggio così denominato è assegnata l'iniziativa del partimen 384,001 nella razo 432.B.B, trasmessa dal solo °R."
"";"Scheda";"4";"BEdT 382";"Porcier";" ";" ";" ";" "
"";"Scheda";"4";"BEdT 353";"Peire Pelissier";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Identificato come un borghese di Martel, arr. di Gourdon nella breve razo in prosa che accompagna lo scambio di coblas col Dalfin d'Alvergne (Jeanroy 1934, p.409). L'autore sembra piuttosto un giullare."
"";"Scheda";"4";"BEdT 378";"Pons de Monlaur";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Pirot 1972, p.307."
"";"Scheda";"4";"BEdT 411";"Raimon Vidal, de Bezaudun";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"4";"BEdT 214";"Guillem de Durfort";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"4";"BEdT 372";"Pistoleta";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 233";"Guillem de Saint Gregori";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 369";"Pelestort";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Certamente un giullare. Propone a Isnart (d'Antrevenas) il partimen scherzoso BEdT 369,001 Qual penriatz, seigner n'Isnart , parodia di serio partimen cortese."
"";"Scheda";"4";"BEdT 361";"Peire d'Uisel";" ";" ";"Limosino, Marche";" "
"";"Scheda";"4";"BEdT 354";"Peire del Poi";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"4";"BEdT 379";"Pons d'Ortafas";" ";"1246 (data probabile di morte)";"Catalogna, Rossiglione";" "
"";"Scheda";"4";"BEdT 439a";"Tibaut de Blizon (Thibaut de Blaison)";" ";" ";"Francia";" "
"";"Scheda";"4";"BEdT 457";"Uc de Saint Circ";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"4";"BEdT 456";"Uc de Pena";" ";" ";"Guascogna, Comminges, Agenais";"Nelle opere non s'incontrano riferimenti ad avvenimenti o personaggi utilizzabili al fine di una precisazione dell'attività. Lo stile e la forma metrica e le allusioni a Lanzalot in BEdT 456,002 e ad Andrieu de Fransa (qui lo Ros ) in BEdT 456,001 escludono una datazione arretrata: si tratta quantomeno di un trovatore della fine del sec. XII. D'altra parte proprio la canzone BEdT 456,002 è imitata da Palais in BEdT 315,001, il che offre almeno un termine di datazione abbastanza sicuro. Circa la presenza in Provenza, v. riferimento della vida al fatto che si sia sposato a l'Isla en Venaissi (Isle-sur-la-Sorgue)."
"";"Scheda";"4";"BEdT 455";"Uc de Murel";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 454";"Uc de Mataplana";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"4";"BEdT 452";"Uc de l'Escura";" ";" ";"non precisabile";" "
"";"Scheda";"4";"BEdT 449";"Uc de la Bacalaria";" ";" ";"Limosino, Marche";" "
"";"Scheda";"4";"BEdT 398";"Raimon Escrivan";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 440";"Tibors, na";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 409";"Raimon de las Salas, de Marseilla";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"4";"BEdT 438";"Taurel";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Dedicatario del sirventese BEdT 217,008 (encomio di Federico II), composto nel 1240: ambiente italiano, probabilmente ghibellino e filo-imperiale. La dedica è dissimile dai più consueti invii al giullare."
"";"Scheda";"4";"BEdT 432";"Savaric de Malleo";" ";" ";"Poitou, Saintonge, Périgord";"Compare come personaggio storico nella razo BEdT 081.B.A."
"";"Scheda";"4";"BEdT 422";"Ricau de Tarascon";"1200";"1240";"Provenza, Delfinato, Viennese, Valentinese";"importante funzionario dell'amministrazione provenzale, legato al Conte Raimondo Berengario V"
"";"Scheda";"4";"BEdT 419";"Reforsat de Tres";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"da identificare con 418 Jaufre Reforsat de Forcalquier cfr. indicazioni sotto questo numero."
"";"Scheda";"4";"BEdT 418";"Reforsat de Forcalquier";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Jaufre Reforzat (Reforciatus), visconte di Marsiglia, signore di Trets (Bouches-du-Rhône) e di Forcalquier, appartenente alla famiglia de Baux compare in documenti databili agli anni 1213-1231."
"";"Scheda";"4";"BEdT 413";"Rainaut";" ";" ";"Limosino, Marche";"Interlocutore di Gui d'Ussel nella tenzone BEdT 194,018a (= 413,001), questo trovatore è identificato da Billet 1982, p.217 con Renaud VI, fils de Guy Ier d'Aubusson et d'Assalide de Comborn. Rainaud VI, vicomte d'Aubusson en 1201, se croisa contre les Albigeois. Il mourut avant l'an 1249. Il avait épousé Ahel, dite aussi Marguerite , ossia la dama cantata da Gui d'Uissel (questi dati confermano quelli di Chabaneau 1885, p.380 e Carstens 1914, p.20, raccolti da BdT, p.377). Sulla famiglia di Aubusson cfr. Billet 1982, p.190-2."
"";"Scheda";"4";"BEdT 370";"Perdigo";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"4";"BEdT 442";"Tomier e Palaizi";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"cfr. anche 231,001a (proposta di attribuzione di Frank 1957, accettata da Aurell 1989 e Vatteroni 1999). Marshall 1978, p. 40 osserva che none of the three pieces attributed to Tomier and Palaizi by Frank [...] has a demonstrable source in any pre-existing canso [...]. This strongly suggests that the collaboration of the two troubadours was a partnership in which one wrote the words and the other the (original, not borrowed) tune ."
"";"Scheda";"4";"BEdT 324";"Peire II d'Arago";" ";" ";"Catalogna, Rossiglione";"Non conosciuto con certezza come autore in lingua d'oc, è stato però indicato come il proponente del jeu-parti RS 1187 (=Linker 239,1) tra un Roi d'Aragon e Andrieu trasmesso solo dal canz. franc. C, questo testo è un derivato della canzone RS 1227 di Blondel de Nesle edizione in RGJP, II, p.210."
"";"Scheda";"4";"BEdT 288";"Lombarda";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"4";"BEdT 281";"Lamberti de Buvalel";" ";"1222 (morto a Verona nel settembre 1221)";"Italia";" "
"";"Scheda";"4";"BEdT 280";"Lambert";" ";" ";"Italia (?)";" "
"";"Scheda";"4";"BEdT 267";"Joan Lag";" ";" ";"non precisabile";" "
"";"Scheda";"4";"BEdT 303";"Monge";" ";" ";"non precisabile";"Guida 2008a, p.273-301 e sopr. p.286 sgg. identifica Monge non con un generico monaco , bensì con un personaggio di tale nome, documentato in Arles sempre solo come Monachus tra il 1194 e il 1238, probabilmente appartenente alla famiglia patrizia dei Beroardo. Lo stesso sarebbe l'interlocutore di Bertran, a sua volta identificato in BEdT 076 Bertran de Lamanon in BEdT 075,005."
"";"Scheda";"4";"BEdT 307";"Montan Sartre";" ";" ";"Linguadoca, Contea di Foix (?)";"Autore di un unico sirventese composto durante l'assedio di Tolosa, negli anni 1216-17. Aurell 1989, p.55 propone di identificarlo con Duran Sartor (125)."
"";"Scheda";"4";"BEdT 254";"Isnart d'Antrevenas";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Signore di Entrevenas, cioè Entrevennes, attuale cantone des Mées , arr. di Digne. Isnart (Isarn) d'Entrevennes ( ...1197 - 1244), nobile provenzale appartenente alla stirpe degli Agoult. Figlio di Raimon d'Agoult, sposò Doucelina de Pontèves e fu podestà di Arles nel 1220, giocando un ruolo di rilievo soprattutto nei primi anni di governo di Raimondo Berengario V e rimanendo poi sempre in contatto con la corte comitale. Suo figlio figura prob. fra i testimoni di un patto fra Carlo d'Angiò e Barral de Baux del 22 - 11 - 1251. Isnart fu contemporaneo di Blacatz, col quale si scontrò."
"";"Scheda";"4";"BEdT 310";"Nicolet de Turin";" ";" ";"Italia";"giullare che tenzonò in termini cortesi con Uc de Saint Circ (310,003) e scambiò coblas (265,002, d'ispirazione ghibellina e anti-comunale) con Joan d'Albusso, probabilmente altro giullare attivo in Italia in quegli anni."
"";"Scheda";"4";"BEdT 315";"Palais";" ";" ";"Italia (?)";"Contrariamente a Ricketts 1986, Squillacioti 1992, propende per identificare il trovatore col giullare cui s'indirzza in un'occasione Folquet de Marseilla (BEdT 155,011), in accordo con quanto già sostenuto da Bertoni (1915, p.58). Circa la cronologia, è da tener in conto la presumibile dipendenza formale di BEdT 315,001 da BEdT 456,002 di Uc de Pena.Guida 2006c propone di identificarlo con Andrian del Palais e di riconoscergli un'origine italiana, padane e più prob. cremonese.."
"";"Scheda";"4";"BEdT 253";"Iseut de Capio";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Identificata da Brunel 1915-16 con una dama appartenente al casato di Tournel, signora di Capio [Chapieu], castrum nel sec. XIII, cant. de Lanuéjouls, arr. di Mende, Lozère (Jeanroy 1934, p.386). Cfr. Guida 1990, p.190-1, nota."
"";"Scheda";"4";"BEdT 252";"Isabella";" ";" ";"Italia (?)";"Identificata da Lachin 2004 (cfr. sopr. p. 94 sgg) con la moglie di Ravano delle Carceri. In precedenza erano stato avanzate altre proposte d'identificazione."
"";"Scheda";"4";"BEdT 291";"Mainart Ros";" ";" ";"non precisabile";"Dibatte con Guionet (Gui de Cavaillon) nella tenzone BEdT 238,001a."
"";"Scheda";"4";"BEdT 322";"Peire";" ";" ";" ";" "
"";"Scheda";"4";"BEdT 298";"Matheu";" ";" ";" ";"Certamente distinto da 299 Matieu de Caerci."
"";"Scheda";"4";"BEdT 250";"Imbert";" ";" ";"Italia";"E' stato identificato col conte Umberto di Biandrate (ipotesi di Chabaneau, accolta poi da Bertoni): cfr. Blasi 1934, p.71-2 (con bibliografia precedente)."
"";"Scheda";"4";"BEdT 326";"Peire de Barjac";" ";"1246";"Linguadoca, Contea di Foix";"discendente di Guillem de Randon e di Garin lo Brun"
"";"Scheda";"4";"BEdT 243";"Guiraut de Calanso";" ";" ";"Guascogna, Comminges, Agenais";" "
"";"Scheda";"4";"BEdT 241";"Guiraut";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"4";"BEdT 329";"Peire de Bragairac";" ";" ";"Guascogna, Comminges, Agenais";" "
"";"Scheda";"4";"BEdT 236";"Guillem de la Tor";" ";" ";"Poitou, Saintonge, Périgord";" "
"";"Scheda";"4";"BEdT 339";"Peire Duran";" ";" ";"non precisabile";" "
"";"Scheda";"4";"BEdT 340";"Peire de Durban";" ";" ";"Linguadoca, Contea di Foix";"Secondo ogni evidenza di Durban, cant. di Labastide, arr. di Foix (cfr. jeanroy 1934, p.406). Un Peire de Durban, signore di Monégut (e Durfort) compare nella Canso de la Crosada come portabandiera di Roger-Bernart, conte di Foix, nell'autunno 1217 (combattimento presso Montolieu, nelle vicinanze di Tolosa: II, 289) di un documento del 1239 che lo menziona dà notizia Chabaneau 1885, p.164, n.3 questo personaggio risulta ancora in vita nel 1244, quando rende omaggio ligio a Raimondo VII di Tolosa (cfr. nota)."
"";"Scheda";"4";"BEdT 343";"Peire de Gavaret";"1195";"1231";"Guascogna, Comminges, Agenais";" "
"";"Scheda";"4";"BEdT 344";"Peire Guillem de Luzerna";" ";" ";"Italia";"Cfr. anche 345 Peire Guillem de Toloza. Circa i Peire Guillem nella tradizione trobadorica cfr. anche Rieger (D.) 1980b, p.52, n.10."
"";"Scheda";"4";"BEdT 348";"Peire de Maensac";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"citato nell'incipit del sirventese 095,002, composto prob. nel 1212 (Aston 1974, p.33)"
"";"Scheda";"4";"BEdT 320";"Paves";" ";" ";"Italia";" "
"";"Scheda";"4 (?)";"BEdT 005";"Ademar de Rocaficha";" ";" ";"Linguadoca, Contea di Foix";"Prob. di Roquefixade, cant. di Lavelanet, Ariège [ca. 20 km a est di Foix] (Jeanroy 1934, p.330). Sulla famiglia cfr. Guida 2011, p.192-202."
"";"Scheda";"4 (?)";"BEdT 428";"Rostanh de Merguas";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";" "
"";"Scheda";"4 (?)";"BEdT 292";"Maistre";" ";" ";"non precisabile";"Marshall 1985, p.456-7 propone l'identificazione dell'interlocutore in 292,001 con Bernart de la Barta (058)"
"";"Scheda";"4 (?)";"BEdT 055";"Bernart Arnaut de Moncuc";" ";" ";"Quercy, Rouergue";"Cfr. note relative alla datazione dell'unico testo che gli è attribuito, il sirventese 055,001, Er can li rozier ."
"";"Scheda";"4 (?)";"BEdT 374";"Pons Barba";" ";" ";"Linguadoca, Contea di Foix (?)";"In rapporto con le corti di Castiglia e d'Aragona. La datazione non è però pacifica. All'epoca di Alfonso X ? così pensa Alvar 1977 (ma il discorso resta ipotetico): il sirventese 374,002 è accostabile per un verso all'opera morale di 225 GlMont, per un altro all'interesse per la posizione a corte di trovatori e giullari che è ravvisabile nell'opera di 248 GrRiq e di 434 ServGir. Guida 2002 propone però una datazione anticipata all'inizio del secolo, in rapporto col Pietro II, identificato come destinatario del sirventese, e lo identifica come uno dei Barba di Mirepoix (Mirapeis) cfr. anche ibid., p.170, nota a 4, 20 calar , 'tacere'."
"";"Scheda";"4 (?)";"BEdT 058";"Bernart de la Barta";" ";" ";"non precisabile";"Identificato dubitativamente (e con pochissimo fondamento) col vescovo di Auch deposto dai Crociati antialbigesi nel 1214 cfr. Aurell 1989, p.52 e n.54, p.292 (con rinvio a Gere 1956, p.51, n.50). é stata proposta l'identità con BEdT 073 (Marshall 1985, p.456-7)."
"";"Scheda";"4 (?)";"BEdT 352";"Peire de la Mula";" ";" ";"Italia";"Folena 1976, p.35 propone di identificarlo con il Mola"
"";"Scheda";"4 (?)";"BEdT 394";"Raimon d'Avignon";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"è stato proposto d'identificarlo col medico omonimo che prima del 1209 tradusse in versi il tratto di chirurgia di Ruggero da Salerno (cfr. Pirot 1972, p.60-1, che è possibilista)"
"";"Scheda";"4 (?) @";"BEdT 158";"Fortunier";" ";" ";"non precisabile";" "
"";"Scheda";"4 (?) @";"BEdT 458";"Uguet";" ";" ";"attribuzione";"Trovatore identificato con BEdT 454 Uc de Mataplana."
"";"Scheda";"4 (?) @";"BEdT 073";"Berta, fraire";" ";" ";"non precisabile";"Marshall 1985, p.456-7, segnala che la lettura esatta nel ms. è Barta , non Berta propone di identificare il personaggio con /058 Bernart de la Barta."
"";"Scheda";"4 (?) @";"BEdT 099";"Bonafos";" ";" ";"non precisabile";"Probabilmente un giullare. Dal partimen parodico BEdT 111,001, nel quale risponde a Cavaire, risulta con certezza che Bonafos ha avuto scontri aspri con i borghesi di Aurillac e potrebbe essere originario di quella regione. Cavaire lo accusa in particolare di avere frequentato una banda di briganti, dediti ad assalire i pellegrini (str.4, v.33-36)."
"";"Scheda";"4 (?) @";"BEdT 417";"Reculaire";" ";" ";"non precisabile";"Giullare, come indicato da Uguet nella tenzone che li contrappone, BEdT 458,001."
"";"Scheda";"4 (?) @";"BEdT 111";"Cavaire";" ";" ";"non precisabile";"Prob. italiano, data la qualità delle rime. Il partimen parodico e satirico BEdT 111,001 presenta chiare allusioni all'Alvernia (ma riferite all'interlocutore Bonafos) e dipende con sicurezza dalla canzone (tenzone fittizia con Amore) BEdT 366,029 di Peirol."
"";"Scheda";"4,5";"BEdT 335";"Peire Cardenal";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"4: senhal";"BEdT 105";"Cabrit";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"Si tratta quasi certamente di un senhal che nasconde Gui de Cavaillo (BEdT 192): cfr. Appel 1920, p.111-2, Guida 1973 e 1987, Brusoni 1998 e 1998a. Tuttavia Aurell 1989, p.76-7 segnala un Cabrit appartenente al patriziato di Arles agli inizi del sec. 13 e morto prima del 1225 in seguito, nel 1237 un Guillem Cabrit figura tra i testimoni di una donazione operata da Ferraria, moglie di Pons de Lamanon."
"";"Scheda";"4: senhal";"BEdT 238";"Guionet";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"da identificare con propende per Gui de Cavaillon, BEdT 192 cfr. Appel 1920, p.111-2, confermato da Brusoni 1998."
"";"Scheda";"4: senhal";"BEdT 142";"Esperdut";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"Pseudonimo di Gui de Cavaillon, BEdT 192 (cfr. Appel 1920, p.111-2 e Brusoni 1998a)."
"";"Scheda";"4: solo nominato";"BEdT 039";"Austorc de Maensac";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Personaggio sconosciuto come trovatore, ricordato nella vida del fratello Peire de Maensac."
"";"Scheda";"4: solo nominato";"BEdT 316";"Palazi";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: solo nominato";"Secondo trovatore della coppia Tomier e Palaizi: cfr. BEdT 442."
"";"Scheda";"4-5 (6 ?)";"BEdT 229";"Guillem Raimon";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"6 (?)";"BEdT 322b";"Peire";" ";" ";"Catalogna, Rossiglione";"E' stata proposta la sua identificazione con Pietro III d'Aragona, ipotesi formulata da Riquer e accolta successivamente da Cluzel. Cfr. BEdT 325."
"";"Scheda";"4-5 (6 ?)";"BEdT 229";"Guillem Raimon";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"5 / 6";"BEdT 216";"Guillem Fabre";" ";" ";"Linguadoca, Contea di Foix";"Trovatore narbonese, secondo l'indicazione della rubrica nel canz. °C, suo unico testimone. E' dubbia l'identificazione col dedicatario di un breve testo encomiastico di di Bernart d'Auriac, che comporterebbe lo scivolamento della cronologia alla fine del sec. 13 cfr. in questo senso Parducci 1933."
"";"Scheda";"5 / 6";"BEdT 150";"Ferrari de Ferrara";" ";" ";"Italia";" "
"";"Scheda";"5 / 6";"BEdT 402";"Raimon Guillem";" ";" ";" ";"Coì è nominato il trovatore che contende con Ferrari de Ferrara nello scambio di coblas BEdT 229,001a, assegnato nel repertorio a BEdT 229 Guillem Raimon: cfr. Folena 1976, p.479 sg. e cfr. anche BEdT 393,003 (scambio di coblas fra un Raimon e uno sconosciuto) che nell'unico ms. è vicina alla tenzone fra Ferrari e GlRm."
"";"Scheda";"6";"BEdT 154";"Folquet de Lunel";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 160";"Frederic de Sicilia";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"6";"BEdT 179";"Graf von Astarac - Coms d'Astarac";" ";" ";"Quercy, Rouergue";"Bernart IV conte d'Astarac (conte: 1249-1291) interlocutore di Guiraut Riquier nel partimen BEdT 248,020 Coms d'Astarac, ab la gensor, databile agli anni 1281-1284 (Betti 1998, p.166)."
"";"Scheda";"6";"BEdT 180";"Graf von Ampurias - Coms d'Empuria";" ";" ";"Catalogna, Rossiglione";"Pons Huc IV"
"";"Scheda";"6";"BEdT 182";"Graf von Foix - lo Coms de Foix";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 195";"Guibert";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 203";"Guillem d'Anduza";" ";" ";"Linguadoca, Contea di Foix";"L'autore è identificato col destinatario della 12a canz. di GrRiquier (248,013, Anc non aigui nul temps de far chanso ), composta nel 1266 come dichiarato nella rubrica del canz. C. Si tratta con ogni probabilità del figlio di Peire Bremon de la Sauve, attestato fra il 1254 e il 1281."
"";"Scheda";"6";"BEdT 261";"Jaufre de Pon";" ";" ";"Poitou, Saintonge, Périgord (?)";"Come chiarito da Chabaneau 1881 l'autore della tenzone BEdT 414,001 non è in alcun modo identificabile con l'omonimo che è interlocutore di Guiraut Riquier in BEdT 261,001a. Cfr. Betti 1998, p.172. Pertanto si sono distinti i due personaggi, mantenendo al secondo la sigla numerica 261, per non alterare il repertorio, e indicando con 261a il primo, più antico, interlocutore di Rainaut de Pons nella tenzone 414,001."
"";"Scheda";"6";"BEdT 206";"Guillem d'Autpol";" ";" ";"Linguadoca, Contea di Foix";"Da identificare con BEdT 126 Daspol, come in BdT?: cfr. le perplessità di Paden 1993."
"";"Scheda";"6";"BEdT 122";"Daspol";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Da identificare con BEdT 206 Guillem d'Autpol, come in BdT?: cfr. le perplessità di Paden 1993."
"";"Scheda";"6";"BEdT 226";"Guillem de Mur (de Murs)";" ";" ";"Quercy, Rouergue (?)";"Guillem de Mur, originario di Mur-de-Barrez (Aveyron) secondo Guida (1983 e 2002). Perugi 1985 ritiene invece si tratti di un Guillem de Murs, originario del Vaucluse"
"";"Scheda";"6";"BEdT 230";"Guillem Raimon de Gironela";" ";" ";"Catalogna, Rossiglione";"Nella tenzone BEdT 230,001a Del joi d'amor agradiu con Pouzet, Guillem Raimon propone e difende un'ipotesi iper-cortese: è preferibile da una dama non ricevere favori, perché si raggiunge una vera felicità pro mais donan que prenden: / c’atenden, meten, sirven, / del joi plus iauzen jauzira . Interpretazione moralistica e con connotazione religiosa dell'amore cortese."
"";"Scheda";"6";"BEdT 230a";"Guillem Rainier";" ";" ";"Quercy, Rouergue (?)";"Interlocutore di Guiraut Riquier nel partimen a distanza BEdT 248,034 Guillem Rainier, pos no posc vezer vos."
"";"Scheda";"6";"BEdT 237";"Guillem Uc d'Albi";" ";" ";"Linguadoca, Contea di Foix";"prob. in relazione col Conte Enrico II di Rodez"
